sample_ID,Run ID,Assay Name,Test Name,Test Date,Qubit? tube conc.,Units,Original sample conc.,Units,Sample Volume (?L),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
FA066,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101737,2024/07/12 10:17:37,1.7,?g/mL,340,ng/?L,1,200,67.33,24619.65,,Blue,Green,9922.51,
FA067,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101745,2024/07/12 10:17:45,3.8,?g/mL,760,ng/?L,1,200,67.33,24619.65,,Blue,Green,19809.59,
FA068,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101752,2024/07/12 10:17:52,2.74,?g/mL,548,ng/?L,1,200,67.33,24619.65,,Blue,Green,15106.44,
FA069,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101800,2024/07/12 10:18:00,1.01,?g/mL,202,ng/?L,1,200,67.33,24619.65,,Blue,Green,6160.71,
FA070,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101808,2024/07/12 10:18:08,2.27,?g/mL,454,ng/?L,1,200,67.33,24619.65,,Blue,Green,12839.8,
FA077,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101815,2024/07/12 10:18:15,2.66,?g/mL,532,ng/?L,1,200,67.33,24619.65,,Blue,Green,14712.21,
FA078,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101822,2024/07/12 10:18:22,1.18,?g/mL,236,ng/?L,1,200,67.33,24619.65,,Blue,Green,7127.74,
FA079,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101829,2024/07/12 10:18:29,1.59,?g/mL,318,ng/?L,1,200,67.33,24619.65,,Blue,Green,9320.48,
FA080,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101838,2024/07/12 10:18:38,0.599,?g/mL,120,ng/?L,1,200,67.33,24619.65,,Blue,Green,3768.29,
FA081,2024-07-12_101712,dsDNA Broad range,Sample_#240712-101845,2024/07/12 10:18:45,2.37,?g/mL,474,ng/?L,1,200,67.33,24619.65,,Blue,Green,13311.17,
